Trip_ID,Destination,State,Days,Travelers,Hotel_Type,Hotel_Cost,Food_Cost,Transport_Cost,Activity_Cost,Shopping_Cost,Season,Travel_Mode,Total_Expense
59,Udaipur,Rajasthan,8,4,Luxury,104000,23817,3557,13960,9665,Winter,Train,154999
60,Shimla,Himachal Pradesh,8,1,Budget,12000,6394,5598,10280,9951,Summer,Car,44223
61,Goa,Goa,6,4,Luxury,78000,17337,5890,6972,8933,Summer,Car,117132
62,Manali,Himachal Pradesh,4,1,Luxury,52000,3812,1915,4404,8822,Summer,Bus,70953
63,Udaipur,Rajasthan,10,2,Luxury,130000,14273,5751,18380,2752,Summer,Car,171156
64,Goa,Goa,10,6,Budget,15000,43136,5187,13820,4860,Winter,Car,82003
65,Udaipur,Rajasthan,9,3,Standard,31500,19892,9976,8442,6054,Monsoon,Flight,75864
66,Manali,Himachal Pradesh,3,5,Standard,10500,10774,5767,3030,8444,Winter,Car,38515
67,Shimla,Himachal Pradesh,4,3,Standard,14000,9852,9732,5224,5683,Monsoon,Flight,44491
68,Shimla,Himachal Pradesh,9,4,Luxury,117000,25839,3891,15264,3286,Summer,Train,165280
69,Jaipur,Rajasthan,7,3,Budget,10500,15833,9216,13755,6613,Winter,Flight,55917
70,Delhi,Delhi,9,6,Luxury,117000,38778,2103,7803,8377,Winter,Bus,174061
71,Udaipur,Rajasthan,5,4,Luxury,65000,15403,9575,6715,1956,Monsoon,Flight,98649
72,Udaipur,Rajasthan,2,5,Premium,14000,7596,2444,1624,1648,Monsoon,Bus,27312
73,Varanasi,Uttar Pradesh,3,4,Luxury,39000,8978,3841,2484,8260,Winter,Train,62563
74,Shimla,Himachal Pradesh,10,4,Premium,70000,28985,1586,16620,1921,Summer,Bus,119112
75,Shimla,Himachal Pradesh,3,2,Luxury,39000,4841,2342,5496,3126,Summer,Bus,54805
76,Delhi,Delhi,2,1,Premium,14000,2860,5957,3142,4381,Monsoon,Car,30340
77,Mumbai,Maharashtra,4,5,Standard,14000,14720,5407,5516,2387,Monsoon,Car,42030
78,Shimla,Himachal Pradesh,2,2,Premium,14000,3638,2211,2154,4281,Summer,Bus,26284
79,Mysore,Karnataka,3,6,Premium,21000,12722,3313,4731,6035,Winter,Train,47801
80,Goa,Goa,5,5,Budget,7500,18122,5403,6710,3352,Winter,Car,41087
81,Jaipur,Rajasthan,8,4,Premium,56000,23353,3758,5536,1916,Summer,Train,90563
82,Manali,Himachal Pradesh,9,4,Budget,13500,25762,3121,7740,7903,Winter,Train,58026
83,Udaipur,Rajasthan,4,2,Standard,14000,5802,3147,5168,7720,Summer,Train,35837
84,Mumbai,Maharashtra,10,1,Budget,15000,7499,1576,14950,7523,Winter,Bus,46548
85,Delhi,Delhi,3,5,Premium,21000,10823,5824,4500,6508,Monsoon,Car,48655
86,Goa,Goa,8,5,Premium,56000,28997,5309,14168,2220,Summer,Car,106694
87,Goa,Goa,5,1,Premium,35000,4685,3143,9865,7131,Monsoon,Train,59824
88,Varanasi,Uttar Pradesh,10,1,Standard,35000,7723,5509,14790,8569,Monsoon,Car,71591
89,Mysore,Karnataka,5,4,Premium,35000,14099,9235,4775,7632,Summer,Flight,70741
90,Udaipur,Rajasthan,3,2,Premium,21000,4828,1837,5073,2170,Winter,Bus,34908
91,Jaipur,Rajasthan,5,4,Premium,35000,15112,2257,2565,8407,Winter,Bus,63341
92,Delhi,Delhi,10,3,Premium,70000,21274,9809,19630,1077,Summer,Flight,121790
93,Varanasi,Uttar Pradesh,3,3,Budget,4500,6863,9002,4089,7324,Summer,Flight,31778
94,Delhi,Delhi,8,2,Premium,56000,11303,2205,12448,1102,Winter,Bus,83058
95,Goa,Goa,10,6,Premium,70000,42621,2354,5540,6530,Monsoon,Bus,127045
96,Udaipur,Rajasthan,5,6,Premium,35000,21636,5202,6775,8748,Summer,Car,77361
97,Udaipur,Rajasthan,5,4,Premium,35000,14934,9099,6745,7261,Monsoon,Flight,73039
98,Udaipur,Rajasthan,10,3,Luxury,130000,22035,2155,11880,2535,Winter,Bus,168605
99,Goa,Goa,4,6,Premium,28000,17434,9333,2528,4923,Summer,Flight,62218
100,Jaipur,Rajasthan,5,2,Premium,35000,8485,5280,7990,7635,Summer,Car,64390
101,Shimla,Himachal Pradesh,4,6,Luxury,52000,17837,5691,7964,5267,Monsoon,Car,88759
102,Mumbai,Maharashtra,2,1,Premium,14000,2761,3372,3962,3872,Monsoon,Train,27967
103,Manali,Himachal Pradesh,10,4,Premium,70000,28000,3277,15430,8105,Winter,Train,124812
104,Varanasi,Uttar Pradesh,3,3,Premium,21000,6662,9920,3330,8925,Winter,Flight,49837
105,Udaipur,Rajasthan,10,1,Luxury,130000,7206,1655,18800,6340,Monsoon,Bus,164001
106,Jaipur,Rajasthan,3,5,Standard,10500,11447,1805,4758,3981,Monsoon,Bus,32491
107,Shimla,Himachal Pradesh,9,4,Premium,63000,25576,3964,4905,762,Monsoon,Train,98207
108,Mysore,Karnataka,9,6,Premium,63000,37939,9441,16065,7648,Summer,Flight,134093
109,Mumbai,Maharashtra,5,4,Standard,17500,14930,9662,4840,3285,Winter,Flight,50217
110,Goa,Goa,10,1,Premium,70000,7695,3211,17820,8736,Monsoon,Train,107462
111,Agra,Uttar Pradesh,9,2,Budget,13500,13332,2266,12645,9284,Monsoon,Bus,51027
112,Mysore,Karnataka,6,3,Luxury,78000,13898,3033,9678,4651,Monsoon,Train,109260
113,Varanasi,Uttar Pradesh,2,6,Budget,3000,9190,2145,1818,7544,Winter,Bus,23697
114,Jaipur,Rajasthan,3,6,Budget,4500,13972,2218,5985,8964,Monsoon,Bus,35639
115,Goa,Goa,8,3,Premium,56000,16812,3400,4872,172,Summer,Train,81256
116,Agra,Uttar Pradesh,5,2,Standard,17500,7030,9937,4880,4543,Monsoon,Flight,43890
117,Shimla,Himachal Pradesh,9,3,Luxury,117000,18918,3397,5697,1919,Monsoon,Train,146931
118,Manali,Himachal Pradesh,10,1,Budget,15000,8025,5585,15300,114,Winter,Car,44024
119,Jaipur,Rajasthan,9,3,Standard,31500,19090,3834,16146,7916,Monsoon,Train,78486
120,Agra,Uttar Pradesh,2,6,Luxury,26000,9639,3462,2634,8689,Summer,Train,50424
121,Delhi,Delhi,6,5,Luxury,78000,22018,3203,7704,6586,Summer,Train,117511
122,Mumbai,Maharashtra,6,6,Premium,42000,25416,3637,8418,9762,Summer,Train,89233
123,Delhi,Delhi,5,6,Standard,17500,21590,2431,4085,8865,Summer,Bus,54471
124,Manali,Himachal Pradesh,10,5,Premium,70000,35508,3789,11710,9968,Summer,Train,130975
125,Agra,Uttar Pradesh,4,3,Luxury,52000,8656,3442,4708,8917,Summer,Train,77723
126,Shimla,Himachal Pradesh,6,5,Budget,9000,21155,2035,11286,9039,Summer,Bus,52515
127,Manali,Himachal Pradesh,7,6,Budget,10500,29465,9629,6286,6621,Monsoon,Flight,62501
128,Udaipur,Rajasthan,10,6,Budget,15000,43323,9103,6270,1085,Monsoon,Flight,74781
129,Varanasi,Uttar Pradesh,5,4,Budget,7500,14396,3604,3580,8505,Winter,Train,37585
130,Mumbai,Maharashtra,6,1,Standard,21000,4361,5928,7722,2512,Winter,Car,41523
131,Goa,Goa,7,3,Premium,49000,15928,3192,5957,8179,Summer,Train,82256
132,Delhi,Delhi,9,3,Premium,63000,19727,3869,15453,7995,Monsoon,Train,110044
133,Shimla,Himachal Pradesh,2,4,Standard,7000,5855,2473,3514,5301,Monsoon,Bus,24143
134,Udaipur,Rajasthan,7,2,Standard,24500,10306,3971,4830,4725,Monsoon,Train,48332
135,Mysore,Karnataka,3,5,Budget,4500,11383,5916,5841,4406,Summer,Car,32046
136,Shimla,Himachal Pradesh,2,3,Budget,3000,5342,3491,1024,1607,Summer,Train,14464
137,Agra,Uttar Pradesh,10,4,Standard,35000,28641,9855,13260,9664,Summer,Flight,96420
138,Jaipur,Rajasthan,5,4,Luxury,65000,15202,5934,5790,4733,Winter,Car,96659
139,Shimla,Himachal Pradesh,4,2,Budget,6000,5714,1618,3068,4696,Summer,Bus,21096
140,Udaipur,Rajasthan,3,6,Premium,21000,12712,3160,5253,5948,Monsoon,Train,48073
141,Mumbai,Maharashtra,3,1,Premium,21000,3409,9774,5439,1201,Summer,Flight,40823
142,Mumbai,Maharashtra,4,5,Budget,6000,15269,5032,6512,426,Summer,Car,33239
143,Manali,Himachal Pradesh,10,4,Premium,70000,28149,1938,6250,7454,Monsoon,Bus,113791
144,Delhi,Delhi,8,2,Premium,56000,11744,5780,11712,175,Summer,Car,85411
145,Shimla,Himachal Pradesh,4,2,Luxury,52000,5679,5398,4932,4739,Summer,Car,72748
146,Agra,Uttar Pradesh,3,3,Luxury,39000,7550,1737,3597,7145,Summer,Bus,59029
147,Mumbai,Maharashtra,4,3,Standard,14000,9496,9179,3268,6527,Monsoon,Flight,42470
148,Manali,Himachal Pradesh,9,2,Standard,31500,14076,3017,6138,9336,Summer,Train,64067
149,Varanasi,Uttar Pradesh,8,6,Luxury,104000,33658,3880,6040,6550,Winter,Train,154128
150,Delhi,Delhi,7,3,Standard,24500,16167,5355,4214,3146,Monsoon,Car,53382
151,Mumbai,Maharashtra,5,1,Standard,17500,4206,3729,4345,6172,Summer,Train,35952
152,Goa,Goa,3,3,Luxury,39000,6631,9054,3567,162,Winter,Flight,58414
153,Delhi,Delhi,2,2,Standard,7000,3483,5453,2252,4814,Summer,Car,23002
154,Goa,Goa,3,6,Standard,10500,13855,5242,1815,7182,Summer,Car,38594
155,Goa,Goa,6,1,Budget,9000,5649,9264,7806,7045,Summer,Flight,38764
156,Mumbai,Maharashtra,5,6,Luxury,65000,21823,1592,2510,3793,Summer,Bus,94718
157,Mumbai,Maharashtra,8,2,Budget,12000,11665,2448,6856,7307,Monsoon,Bus,40276
158,Jaipur,Rajasthan,5,4,Standard,17500,15257,3632,7120,5332,Winter,Train,48841
159,Agra,Uttar Pradesh,4,2,Luxury,52000,6372,9777,5304,3636,Summer,Flight,77089
160,Mumbai,Maharashtra,7,3,Premium,49000,16180,5105,4368,7283,Summer,Car,81936
161,Manali,Himachal Pradesh,2,3,Standard,7000,5316,9836,3728,6205,Monsoon,Flight,32085
162,Varanasi,Uttar Pradesh,8,5,Premium,56000,29367,9839,9528,305,Winter,Flight,105039
163,Delhi,Delhi,7,1,Premium,49000,5851,3218,10038,7757,Monsoon,Train,75864
164,Varanasi,Uttar Pradesh,5,6,Standard,17500,22313,1921,3255,4446,Monsoon,Bus,49435
165,Agra,Uttar Pradesh,3,5,Luxury,39000,11406,5343,4713,5884,Monsoon,Car,66346
166,Agra,Uttar Pradesh,10,4,Budget,15000,29442,3847,8910,4820,Summer,Train,62019
167,Udaipur,Rajasthan,2,2,Premium,14000,3145,5469,1758,6220,Winter,Car,30592
168,Jaipur,Rajasthan,10,5,Budget,15000,36309,3935,10120,222,Summer,Train,65586
169,Manali,Himachal Pradesh,7,5,Budget,10500,24766,3433,6601,42,Summer,Train,45342
170,Varanasi,Uttar Pradesh,5,2,Luxury,65000,7779,3718,9420,1857,Winter,Train,87774
171,Agra,Uttar Pradesh,6,6,Premium,42000,25526,5169,8676,8006,Winter,Car,89377
172,Jaipur,Rajasthan,5,5,Budget,7500,18339,1923,8565,5203,Monsoon,Bus,41530
173,Udaipur,Rajasthan,4,2,Budget,6000,6230,3780,7928,4189,Summer,Train,28127
174,Shimla,Himachal Pradesh,5,6,Luxury,65000,21761,5087,2575,3047,Monsoon,Car,97470
175,Jaipur,Rajasthan,9,4,Standard,31500,26005,5077,10278,9049,Winter,Car,81909
176,Shimla,Himachal Pradesh,9,4,Luxury,117000,26303,9704,7389,222,Winter,Flight,160618
177,Goa,Goa,5,6,Budget,7500,21336,3842,7500,2551,Winter,Train,42729
178,Shimla,Himachal Pradesh,6,5,Budget,9000,21668,1997,5580,6078,Monsoon,Bus,44323
179,Jaipur,Rajasthan,5,6,Standard,17500,22485,5806,5440,8705,Summer,Car,59936
180,Manali,Himachal Pradesh,6,6,Standard,21000,25214,3470,4716,2260,Winter,Train,56660
181,Jaipur,Rajasthan,7,2,Budget,10500,10480,3492,8547,7538,Monsoon,Train,40557
182,Mysore,Karnataka,3,3,Premium,21000,7096,1633,4050,4498,Summer,Bus,38277
183,Shimla,Himachal Pradesh,7,2,Premium,49000,10246,3779,11865,7535,Winter,Train,82425
184,Delhi,Delhi,2,4,Standard,7000,6973,1733,1306,685,Summer,Bus,17697
185,Mumbai,Maharashtra,3,2,Budget,4500,4945,3819,4650,3756,Winter,Train,21670
186,Goa,Goa,4,4,Premium,28000,11392,5471,6448,2618,Monsoon,Car,53929
187,Udaipur,Rajasthan,2,1,Premium,14000,2433,9722,3578,7424,Summer,Flight,37157
188,Jaipur,Rajasthan,2,1,Premium,14000,1422,3269,2606,9450,Summer,Train,30747
189,Agra,Uttar Pradesh,2,1,Premium,14000,2087,3819,2438,2006,Winter,Train,24350
190,Udaipur,Rajasthan,7,6,Budget,10500,30415,9074,8736,9730,Summer,Flight,68455
191,Goa,Goa,3,5,Luxury,39000,11441,5427,5676,286,Summer,Car,61830
192,Varanasi,Uttar Pradesh,6,3,Standard,21000,12623,5450,4758,8394,Winter,Car,52225
193,Manali,Himachal Pradesh,4,2,Budget,6000,6569,5770,4356,4911,Summer,Car,27606
194,Shimla,Himachal Pradesh,7,2,Budget,10500,11224,9482,5334,771,Summer,Flight,37311
195,Agra,Uttar Pradesh,5,4,Budget,7500,15175,9945,6820,8108,Winter,Flight,47548
196,Delhi,Delhi,3,2,Premium,21000,5364,5999,1644,8334,Summer,Car,42341
197,Goa,Goa,7,1,Premium,49000,5258,1856,9359,4549,Monsoon,Bus,70022
198,Mumbai,Maharashtra,3,5,Premium,21000,10810,1522,4875,194,Winter,Bus,38401
199,Mumbai,Maharashtra,2,2,Standard,7000,3071,9291,2308,5936,Monsoon,Flight,27606
200,Goa,Goa,9,5,Luxury,117000,32196,2206,17136,9427,Summer,Bus,177965
201,Varanasi,Uttar Pradesh,4,2,Premium,28000,5600,1834,6980,2057,Summer,Bus,44471
202,Agra,Uttar Pradesh,7,2,Premium,49000,9897,9055,8484,9693,Winter,Flight,86129
203,Manali,Himachal Pradesh,3,5,Budget,4500,11051,9364,1728,6658,Monsoon,Flight,33301
204,Mysore,Karnataka,10,1,Standard,35000,7632,9789,15100,614,Monsoon,Flight,68135
205,Jaipur,Rajasthan,8,6,Luxury,104000,33839,9286,9832,9532,Summer,Flight,166489
206,Varanasi,Uttar Pradesh,2,1,Luxury,26000,2637,5029,2984,5707,Winter,Car,42357
207,Udaipur,Rajasthan,4,1,Budget,6000,2871,5738,7648,9708,Monsoon,Car,31965
208,Shimla,Himachal Pradesh,2,1,Standard,7000,2410,5433,1568,4905,Monsoon,Car,21316
209,Jaipur,Rajasthan,2,4,Luxury,26000,6234,2448,2122,2925,Winter,Bus,39729
210,Shimla,Himachal Pradesh,3,6,Standard,10500,12853,9481,4671,7246,Monsoon,Flight,44751
211,Jaipur,Rajasthan,4,1,Standard,14000,3008,9316,2616,5134,Monsoon,Flight,34074
212,Delhi,Delhi,9,3,Luxury,117000,19400,5171,10854,7252,Winter,Car,159677
213,Jaipur,Rajasthan,8,5,Premium,56000,28992,5630,7360,8338,Monsoon,Car,106320
214,Mumbai,Maharashtra,4,5,Luxury,52000,14415,1629,2880,2202,Winter,Bus,73126
215,Agra,Uttar Pradesh,3,4,Budget,4500,9504,9805,5862,391,Summer,Flight,30062
216,Jaipur,Rajasthan,6,5,Budget,9000,22017,1779,3168,998,Summer,Bus,36962
217,Jaipur,Rajasthan,7,2,Luxury,91000,10116,9576,9051,2253,Monsoon,Flight,121996
218,Varanasi,Uttar Pradesh,6,5,Standard,21000,21446,3837,9768,4390,Winter,Train,60441
219,Manali,Himachal Pradesh,4,2,Budget,6000,6352,2448,4936,9083,Summer,Bus,28819
220,Mumbai,Maharashtra,8,6,Standard,28000,34619,1679,4760,9190,Summer,Bus,78248
221,Varanasi,Uttar Pradesh,3,3,Premium,21000,7246,9812,4086,1339,Summer,Flight,43483
222,Delhi,Delhi,5,5,Standard,17500,18940,5044,3565,1589,Summer,Car,46638
223,Goa,Goa,8,5,Budget,12000,28139,3814,15064,6373,Winter,Train,65390
224,Goa,Goa,10,3,Standard,35000,22088,3808,5450,7356,Monsoon,Train,73702
225,Varanasi,Uttar Pradesh,10,6,Budget,15000,42483,5819,9010,2442,Winter,Car,74754
226,Agra,Uttar Pradesh,8,1,Premium,56000,6620,1811,9768,9898,Monsoon,Bus,84097
227,Varanasi,Uttar Pradesh,9,6,Luxury,117000,38186,9702,7083,2183,Monsoon,Flight,174154
228,Udaipur,Rajasthan,10,3,Budget,15000,21117,3078,12260,9622,Winter,Train,61077
229,Agra,Uttar Pradesh,8,2,Premium,56000,11358,9944,5968,4337,Monsoon,Flight,87607
230,Varanasi,Uttar Pradesh,9,3,Standard,31500,20356,5589,14400,3316,Winter,Car,75161
231,Udaipur,Rajasthan,7,3,Standard,24500,15920,5684,4718,3821,Summer,Car,54643
232,Mysore,Karnataka,9,3,Standard,31500,20367,3088,14742,6313,Winter,Train,76010
233,Mumbai,Maharashtra,2,2,Luxury,26000,2932,3323,1402,9606,Monsoon,Train,43263
234,Udaipur,Rajasthan,3,1,Budget,4500,2969,5858,4443,7089,Winter,Car,24859
235,Delhi,Delhi,7,4,Standard,24500,20889,3137,7518,463,Summer,Train,56507
236,Mumbai,Maharashtra,5,4,Luxury,65000,14694,9076,4080,4855,Monsoon,Flight,97705
237,Mumbai,Maharashtra,6,3,Premium,42000,13407,5638,3882,8161,Summer,Car,73088
238,Delhi,Delhi,2,1,Luxury,26000,1649,9143,1864,881,Winter,Flight,39537
239,Mysore,Karnataka,7,5,Budget,10500,24805,3097,10346,996,Winter,Train,49744
240,Delhi,Delhi,5,4,Standard,17500,15083,1925,9735,7573,Monsoon,Bus,51816
241,Varanasi,Uttar Pradesh,2,6,Budget,3000,8635,5141,2140,9697,Summer,Car,28613
242,Varanasi,Uttar Pradesh,6,1,Budget,9000,5361,2349,10608,8137,Winter,Bus,35455
243,Delhi,Delhi,6,3,Luxury,78000,13538,5107,10338,8879,Winter,Car,115862
244,Mysore,Karnataka,3,4,Luxury,39000,8582,3228,4527,9060,Summer,Train,64397
245,Delhi,Delhi,10,1,Budget,15000,8150,1697,6840,3720,Monsoon,Bus,35407
246,Manali,Himachal Pradesh,8,3,Budget,12000,17869,5161,11048,5823,Summer,Car,51901
247,Udaipur,Rajasthan,6,2,Standard,21000,8565,5839,7254,9119,Winter,Car,51777
248,Manali,Himachal Pradesh,5,5,Standard,17500,18762,5525,5815,4095,Winter,Car,51697
249,Delhi,Delhi,10,2,Budget,15000,15494,1515,11400,9197,Summer,Bus,52606
250,Jaipur,Rajasthan,10,4,Luxury,130000,28090,5434,9180,8326,Monsoon,Car,181030
251,Mumbai,Maharashtra,6,4,Budget,9000,17525,5089,8586,1530,Monsoon,Car,41730
252,Manali,Himachal Pradesh,5,4,Budget,7500,14014,3816,6740,407,Monsoon,Train,32477
253,Mysore,Karnataka,6,4,Premium,42000,18128,1795,11028,7677,Monsoon,Bus,80628
254,Agra,Uttar Pradesh,7,2,Luxury,91000,10437,9046,8421,5154,Monsoon,Flight,124058
255,Udaipur,Rajasthan,7,5,Premium,49000,24866,2106,12796,6372,Summer,Bus,95140
256,Varanasi,Uttar Pradesh,2,6,Premium,14000,9754,9328,1134,1197,Monsoon,Flight,35413
257,Shimla,Himachal Pradesh,6,4,Budget,9000,17795,5164,10728,2653,Monsoon,Car,45340
258,Delhi,Delhi,8,3,Budget,12000,17205,9933,10304,9513,Winter,Flight,58955
259,Mysore,Karnataka,7,6,Luxury,91000,30527,2495,12096,69,Winter,Bus,136187
260,Mumbai,Maharashtra,2,5,Premium,14000,8265,3692,1948,4901,Winter,Train,32806
261,Shimla,Himachal Pradesh,9,2,Standard,31500,13664,1632,7587,5890,Monsoon,Bus,60273
262,Mumbai,Maharashtra,7,2,Luxury,91000,10316,3176,4158,2749,Winter,Train,111399
263,Shimla,Himachal Pradesh,9,4,Premium,63000,25414,9946,5265,1544,Monsoon,Flight,105169
264,Agra,Uttar Pradesh,10,2,Premium,70000,14401,5060,19230,5405,Winter,Car,114096
265,Mysore,Karnataka,5,4,Standard,17500,15475,3237,3730,3559,Monsoon,Train,43501
266,Goa,Goa,3,4,Budget,4500,9255,9111,2190,2832,Summer,Flight,27888
267,Mumbai,Maharashtra,3,2,Premium,21000,4413,3602,4563,3165,Summer,Train,36743
268,Udaipur,Rajasthan,9,4,Luxury,117000,26491,9417,11583,6404,Monsoon,Flight,170895
269,Manali,Himachal Pradesh,5,5,Budget,7500,18014,2416,8140,9213,Summer,Bus,45283
270,Jaipur,Rajasthan,10,5,Luxury,130000,36071,3058,17470,7477,Summer,Train,194076
271,Varanasi,Uttar Pradesh,4,1,Budget,6000,3474,9663,3992,7298,Summer,Flight,30427
272,Mumbai,Maharashtra,9,3,Luxury,117000,19468,2451,13959,3404,Summer,Bus,156282
273,Goa,Goa,9,5,Budget,13500,31827,3317,15741,7979,Winter,Train,72364
274,Shimla,Himachal Pradesh,2,6,Premium,14000,8890,2367,1740,2309,Summer,Bus,29306
275,Udaipur,Rajasthan,5,2,Budget,7500,8134,9233,7365,1692,Summer,Flight,33924
276,Mumbai,Maharashtra,4,2,Standard,14000,6004,1763,2076,5574,Summer,Bus,29417
277,Varanasi,Uttar Pradesh,7,1,Luxury,91000,6293,5209,5663,542,Summer,Car,108707
278,Mumbai,Maharashtra,4,4,Premium,28000,12643,2156,7396,5149,Winter,Bus,55344
279,Agra,Uttar Pradesh,7,2,Premium,49000,10038,9708,6314,2787,Monsoon,Flight,77847
280,Manali,Himachal Pradesh,3,2,Luxury,39000,5383,2088,5151,2966,Winter,Bus,54588
281,Varanasi,Uttar Pradesh,9,1,Premium,63000,7461,5580,8811,9527,Summer,Car,94379
282,Varanasi,Uttar Pradesh,3,3,Premium,21000,7348,9700,3138,2074,Summer,Flight,43260
